key,en,vi
app_name,Plato,Plato
company_name,Zenithas,Zenithas
auth.err_account_not_found,Account does not exist. Please check again.,Tài khoản chưa tồn tại. Vui lòng kiểm tra lại.
auth.btn_already_have_account,Already have an account? Log in now,Đã có tài khoản? Đăng nhập ngay
auth.msg_backing_up_and_logout,Backing up and logging out...,Đang sao lưu và thoát...
auth.msg_backing_up_current,Backing up current account data...,Đang sao lưu dữ liệu của tài khoản hiện tại...
auth.desc_change_email,Change the linked email address,Thay đổi địa chỉ email liên kết mới
auth.btn_change_email,Change Linked Email,Đổi Email liên kết
auth.btn_click_to_resend,Click to resend,Gửi lại mã
auth.btn_confirm_delete_email,Enter your email address to confirm:,Nhập email của bạn để xác nhận:
auth.btn_confirm_delete_guest,Enter 'DELETE' to confirm:,Nhập 'DELETE' để xác nhận:
auth.msg_delete_account_success,Account has been permanently deleted.,Tài khoản đã bị xóa vĩnh viễn.
auth.msg_deleting_cloud_data,Deleting cloud data...,Đang xóa dữ liệu đám mây...
auth.desc_did_not_get_code,Didn't receive the code?,Chưa nhận được mã?
auth.err_email_in_use,"Email is already in use, please enter another email. Select Switch Account if this is yours.","Email đã được sử dụng, vui lòng nhập email khác. Hãy chọn Chuyển đổi tài khoản nếu đây là tài khoản của bạn."
auth.lbl_email_input,Email address,Địa chỉ email
auth.desc_email_instruction,Enter your email address to securely receive a verification code. Your data will be automatically synchronized.,Nhập địa chỉ thư điện tử của bạn để nhận mã xác nhận an toàn. Dữ liệu sẽ được tự động đồng bộ.
auth.err_empty_email,Please enter your email address,Vui lòng nhập địa chỉ email
auth.err_invalid_email,Invalid email format,Định dạng email không hợp lệ
auth.title_link_email,Link Email,Liên kết Email
auth.desc_link_email,Link your email to securely back up and protect your workout data.,Liên kết với email để sao lưu an toàn và bảo vệ dữ liệu tập luyện của bạn.
auth.desc_link_email_screen,Link your account via email to protect your data.,Liên kết tài khoản của bạn qua email để bảo vệ dữ liệu.
auth.title_login_sync,Login,Đăng nhập
auth.desc_login_sync,Log in to sync and restore data from your existing account.,Đăng nhập để đồng bộ và khôi phục dữ liệu từ tài khoản đã có của bạn.
auth.desc_login_sync_screen,Enter your email to log in to your existing account.,Nhập email để đăng nhập vào tài khoản đã có của bạn.
auth.msg_merging_cloud_data,Merging and downloading cloud data...,Đang gộp và tải dữ liệu đám mây...
auth.err_network_backup_failed,Network error: Could not backup current data. Switch cancelled.,Lỗi mạng: Không thể sao lưu dữ liệu hiện tại. Đã hủy chuyển đổi.
auth.err_network_delete_failed,Error: Cannot delete account at this time. Please check your network.,Lỗi: Không thể xóa tài khoản lúc này. Vui lòng kiểm tra mạng.
auth.err_network_logout_failed,Cannot log out without backing up data due to network error.,Không thể đăng xuất khi chưa sao lưu dữ liệu do rớt mạng.
auth.lbl_otp_input,6-digit code,Mã gồm 6 chữ số
auth.desc_otp_instruction,A verification code has been sent to {arg1}. Please check your inbox.,Mã xác nhận đã được gửi đến {arg1}. Vui lòng kiểm tra hộp thư.
auth.msg_otp_sent_err,Connection error: Could not send the code. Please try again later.,Lỗi kết nối: Không thể gửi mã. Vui lòng thử lại sau.
auth.err_otp_sent_failed,Connection error: Could not send code. Please try again later.,Lỗi kết nối: Không thể gửi mã. Vui lòng thử lại sau.
auth.msg_otp_sent_success,A 6-digit verification code has been sent to your email!,Đã gửi mã xác nhận 6 số đến thư điện tử của bạn!
auth.msg_processing,Processing...,Đang xử lý...
auth.msg_pulling_cloud_data,Downloading cloud data...,Đang tải dữ liệu đám mây...
auth.err_repo_missing_user_id,Could not retrieve user identity from the system.,Không lấy được định danh người dùng từ hệ thống.
auth.btn_resend_cooldown,Resend in {time},Gửi lại sau {time}
auth.btn_resend_otp,Resend OTP code,Gửi lại mã OTP
auth.err_same_email,The target email cannot be the same as the current email.,Email chuyển đổi không được trùng với email hiện tại.
auth.btn_send_otp,Send Verification Code,Gửi mã xác nhận
auth.title_switch_account,Switch to Another Account,Chuyển đổi tài khoản khác
auth.desc_switch_account,Log in with a different email (current data will be automatically backed up).,Đăng nhập bằng Email khác (dữ liệu hiện tại sẽ tự động sao lưu).
